GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,CantStop,0,GAME_OVER,118,41,2,2,rmhc,3.0,0.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
879079583,CantStop,0,GAME_OVER,147,42,2,3,rmhc,2.0,4.0,rhea,2,rmhc,2,1,1,rhea,rhea,rmhc,0
-619666105,CantStop,0,GAME_OVER,199,55,2,4,rmhc,3.0,2.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
503938916,CantStop,0,GAME_OVER,105,23,2,5,rmhc,3.0,1.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
-428737539,CantStop,0,GAME_OVER,105,25,2,6,rmhc,3.0,1.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
-1745970416,CantStop,0,GAME_OVER,114,33,2,7,rmhc,3.0,0.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
-1436161366,CantStop,0,GAME_OVER,136,38,2,8,rmhc,0.0,4.0,rhea,2,rmhc,2,1,1,rhea,rhea,rmhc,0
-1151041315,CantStop,0,GAME_OVER,170,45,2,9,rmhc,4.0,1.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
697067980,CantStop,0,GAME_OVER,112,29,2,10,rmhc,4.0,0.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
1168140970,CantStop,0,GAME_OVER,212,41,2,11,rmhc,3.0,1.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
-1491060889,CantStop,0,GAME_OVER,64,11,2,12,rmhc,3.0,1.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
-1819802610,CantStop,0,GAME_OVER,163,44,2,13,rmhc,2.0,5.0,rhea,2,rmhc,2,1,1,rhea,rhea,rmhc,0
-2121274456,CantStop,0,GAME_OVER,92,22,2,14,rmhc,1.0,3.0,rhea,2,rmhc,2,1,1,rhea,rhea,rmhc,0
259280696,CantStop,0,GAME_OVER,200,38,2,15,rmhc,2.0,4.0,rhea,2,rmhc,2,1,1,rhea,rhea,rmhc,0
1706137030,CantStop,0,GAME_OVER,152,38,2,16,rmhc,1.0,3.0,rhea,2,rmhc,2,1,1,rhea,rhea,rmhc,0
545138396,CantStop,0,GAME_OVER,247,56,2,17,rmhc,2.0,4.0,rhea,2,rmhc,2,1,1,rhea,rhea,rmhc,0
1376458976,CantStop,0,GAME_OVER,114,34,2,18,rmhc,1.0,4.0,rhea,2,rmhc,2,1,1,rhea,rhea,rmhc,0
1195311045,CantStop,0,GAME_OVER,182,60,2,19,rmhc,2.0,4.0,rhea,2,rmhc,2,1,1,rhea,rhea,rmhc,0
813477029,CantStop,0,GAME_OVER,173,47,2,20,rmhc,4.0,1.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
