GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
1922305904,SushiGo,3,GAME_OVER,60,0,2,2,BasicMCTS,38.0,61.0,rmhc,2,BasicMCTS,2,1,1,rmhc,rmhc,BasicMCTS,0
1284050976,SushiGo,3,GAME_OVER,63,0,2,3,BasicMCTS,39.0,53.0,rmhc,2,BasicMCTS,2,1,1,rmhc,rmhc,BasicMCTS,0
-1605884090,SushiGo,3,GAME_OVER,60,0,2,4,BasicMCTS,34.0,48.0,rmhc,2,BasicMCTS,2,1,1,rmhc,rmhc,BasicMCTS,0
1314551211,SushiGo,3,GAME_OVER,60,0,2,5,BasicMCTS,48.0,64.0,rmhc,2,BasicMCTS,2,1,1,rmhc,rmhc,BasicMCTS,0
1576407728,SushiGo,3,GAME_OVER,62,0,2,6,BasicMCTS,35.0,80.0,rmhc,2,BasicMCTS,2,1,1,rmhc,rmhc,BasicMCTS,0
-1541814328,SushiGo,3,GAME_OVER,62,0,2,7,BasicMCTS,39.0,55.0,rmhc,2,BasicMCTS,2,1,1,rmhc,rmhc,BasicMCTS,0
1757868865,SushiGo,3,GAME_OVER,63,0,2,8,BasicMCTS,43.0,66.0,rmhc,2,BasicMCTS,2,1,1,rmhc,rmhc,BasicMCTS,0
1804253737,SushiGo,3,GAME_OVER,62,0,2,9,BasicMCTS,28.0,61.0,rmhc,2,BasicMCTS,2,1,1,rmhc,rmhc,BasicMCTS,0
775556697,SushiGo,3,GAME_OVER,62,0,2,10,BasicMCTS,46.0,49.0,rmhc,2,BasicMCTS,2,1,1,rmhc,rmhc,BasicMCTS,0
-344864697,SushiGo,3,GAME_OVER,62,0,2,11,BasicMCTS,35.0,52.0,rmhc,2,BasicMCTS,2,1,1,rmhc,rmhc,BasicMCTS,0
1949349579,SushiGo,3,GAME_OVER,60,0,2,12,BasicMCTS,59.0,47.0,rmhc,1,BasicMCTS,1,2,2,rmhc,rmhc,BasicMCTS,1
587520116,SushiGo,3,GAME_OVER,61,0,2,13,BasicMCTS,40.0,47.0,rmhc,2,BasicMCTS,2,1,1,rmhc,rmhc,BasicMCTS,0
1677581754,SushiGo,3,GAME_OVER,61,0,2,14,BasicMCTS,29.0,85.0,rmhc,2,BasicMCTS,2,1,1,rmhc,rmhc,BasicMCTS,0
-308774135,SushiGo,3,GAME_OVER,63,0,2,15,BasicMCTS,37.0,62.0,rmhc,2,BasicMCTS,2,1,1,rmhc,rmhc,BasicMCTS,0
-1419970842,SushiGo,3,GAME_OVER,60,0,2,16,BasicMCTS,63.0,52.0,rmhc,1,BasicMCTS,1,2,2,rmhc,rmhc,BasicMCTS,1
-1264398229,SushiGo,3,GAME_OVER,62,0,2,17,BasicMCTS,50.0,56.0,rmhc,2,BasicMCTS,2,1,1,rmhc,rmhc,BasicMCTS,0
845982199,SushiGo,3,GAME_OVER,60,0,2,18,BasicMCTS,49.0,58.0,rmhc,2,BasicMCTS,2,1,1,rmhc,rmhc,BasicMCTS,0
1573127368,SushiGo,3,GAME_OVER,63,0,2,19,BasicMCTS,32.0,61.0,rmhc,2,BasicMCTS,2,1,1,rmhc,rmhc,BasicMCTS,0
-652576372,SushiGo,3,GAME_OVER,63,0,2,20,BasicMCTS,37.0,75.0,rmhc,2,BasicMCTS,2,1,1,rmhc,rmhc,BasicMCTS,0
1213361843,SushiGo,3,GAME_OVER,61,0,2,21,BasicMCTS,37.0,54.0,rmhc,2,BasicMCTS,2,1,1,rmhc,rmhc,BasicMCTS,0
1922305904,SushiGo,3,GAME_OVER,60,0,2,22,BasicMCTS,48.0,63.0,actionsushi,2,BasicMCTS,2,1,1,actionsushi,actionsushi,BasicMCTS,0
1284050976,SushiGo,3,GAME_OVER,63,0,2,23,BasicMCTS,49.0,43.0,actionsushi,1,BasicMCTS,1,2,2,actionsushi,actionsushi,BasicMCTS,1
-1605884090,SushiGo,3,GAME_OVER,60,0,2,24,BasicMCTS,35.0,44.0,actionsushi,2,BasicMCTS,2,1,1,actionsushi,actionsushi,BasicMCTS,0
1314551211,SushiGo,3,GAME_OVER,60,0,2,25,BasicMCTS,40.0,65.0,actionsushi,2,BasicMCTS,2,1,1,actionsushi,actionsushi,BasicMCTS,0
1576407728,SushiGo,3,GAME_OVER,61,0,2,26,BasicMCTS,47.0,72.0,actionsushi,2,BasicMCTS,2,1,1,actionsushi,actionsushi,BasicMCTS,0
-1541814328,SushiGo,3,GAME_OVER,62,0,2,27,BasicMCTS,41.0,62.0,actionsushi,2,BasicMCTS,2,1,1,actionsushi,actionsushi,BasicMCTS,0
1757868865,SushiGo,3,GAME_OVER,62,0,2,28,BasicMCTS,42.0,70.0,actionsushi,2,BasicMCTS,2,1,1,actionsushi,actionsushi,BasicMCTS,0
1804253737,SushiGo,3,GAME_OVER,62,0,2,29,BasicMCTS,49.0,61.0,actionsushi,2,BasicMCTS,2,1,1,actionsushi,actionsushi,BasicMCTS,0
775556697,SushiGo,3,GAME_OVER,60,0,2,30,BasicMCTS,39.0,91.0,actionsushi,2,BasicMCTS,2,1,1,actionsushi,actionsushi,BasicMCTS,0
-344864697,SushiGo,3,GAME_OVER,61,0,2,31,BasicMCTS,43.0,60.0,actionsushi,2,BasicMCTS,2,1,1,actionsushi,actionsushi,BasicMCTS,0
1949349579,SushiGo,3,GAME_OVER,61,0,2,32,BasicMCTS,46.0,65.0,actionsushi,2,BasicMCTS,2,1,1,actionsushi,actionsushi,BasicMCTS,0
587520116,SushiGo,3,GAME_OVER,63,0,2,33,BasicMCTS,44.0,53.0,actionsushi,2,BasicMCTS,2,1,1,actionsushi,actionsushi,BasicMCTS,0
1677581754,SushiGo,3,GAME_OVER,62,0,2,34,BasicMCTS,36.0,74.0,actionsushi,2,BasicMCTS,2,1,1,actionsushi,actionsushi,BasicMCTS,0
